2023,1,1,cloudy,2,29,11
2023,1,2,cloudy,6,34,-4
2023,1,3,snowy,12,14,-19
2023,1,4,rainy,11,18,9
2023,1,5,rainy,11,29,8
2023,1,6,rainy,10,14,9
2023,1,7,cloudy,4,36,-2
2023,1,8,cloudy,5,19,1
2023,1,9,cloudy,6,12,10
2023,1,10,rainy,9,50,9
2023,1,11,cloudy,0,49,0
2023,1,12,snowy,7,36,-7
2023,1,13,cloudy,5,30,-13
2023,1,14,cloudy,1,15,-2
2023,1,15,cloudy,5,46,-2
2023,1,16,snowy,10,24,2
2023,1,17,cloudy,4,33,-15
2023,1,18,cloudy,6,38,1
2023,1,19,cloudy,4,38,-9
2023,1,20,cloudy,4,30,-1
2023,1,21,cloudy,5,13,-6
2023,1,22,snowy,9,13,-10
2023,1,23,cloudy,5,16,5
2023,1,24,cloudy,2,29,-8
2023,1,25,cloudy,4,17,-4
2023,1,26,sunny,10,12,-5
2023,1,27,cloudy,5,34,7
2023,1,28,cloudy,0,29,2
2023,1,29,snowy,10,44,-4
2023,1,30,cloudy,5,44,-13
2023,1,31,cloudy,5,20,-12
2023,2,1,cloudy,0,14,2
2023,2,2,rainy,11,44,7
2023,2,3,cloudy,5,48,9
2023,2,4,snowy,11,27,-20
2023,2,5,rainy,11,49,9
2023,2,6,cloudy,5,12,-15
2023,2,7,cloudy,2,40,11
2023,2,8,cloudy,4,19,-6
2023,2,9,snowy,12,25,-8
2023,2,10,cloudy,1,18,0
2023,2,11,snowy,7,22,-3
2023,2,12,snowy,8,47,-15
2023,2,13,cloudy,1,15,8
2023,2,14,cloudy,2,47,-13
2023,2,15,rainy,11,41,9
2023,2,16,cloudy,2,33,-7
2023,2,17,cloudy,2,49,1
2023,2,18,snowy,8,24,-19
2023,2,19,snowy,8,43,-11
2023,2,20,cloudy,0,30,-3
2023,2,21,cloudy,4,25,9
2023,2,22,cloudy,3,49,-2
2023,2,23,cloudy,4,38,3
2023,2,24,rainy,12,49,12
2023,2,25,snowy,9,14,-5
2023,2,26,cloudy,1,49,8
2023,2,27,cloudy,0,38,11
2023,2,28,rainy,7,48,4
2023,3,1,rainy,7,41,11
2023,3,2,cloudy,0,31,0
2023,3,3,snowy,10,26,0
2023,3,4,snowy,10,28,-10
2023,3,5,snowy,12,50,-10
2023,3,6,cloudy,0,27,0
2023,3,7,cloudy,3,13,-3
2023,3,8,snowy,11,14,0
2023,3,9,rainy,11,46,7
2023,3,10,snowy,8,13,-1
2023,3,11,cloudy,5,14,-11
2023,3,12,snowy,10,32,-17
2023,3,13,cloudy,5,36,12
2023,3,14,rainy,10,38,4
2023,3,15,cloudy,4,31,-17
2023,3,16,snowy,12,44,3
2023,3,17,cloudy,6,22,-2
2023,3,18,cloudy,1,46,-6
2023,3,19,cloudy,6,44,-12
2023,3,20,snowy,7,27,-8
2023,3,21,cloudy,1,18,-4
2023,3,22,cloudy,6,42,-13
2023,3,23,cloudy,4,16,0
2023,3,24,cloudy,3,22,-4
2023,3,25,cloudy,6,19,7
2023,3,26,cloudy,1,18,-20
2023,3,27,cloudy,0,52,-18
2023,3,28,snowy,12,32,-16
2023,3,29,cloudy,5,35,10
2023,3,30,cloudy,2,30,6
2023,3,31,snowy,9,29,3
2023,4,1,snowy,8,34,-13
2023,4,2,cloudy,1,44,0
2023,4,3,cloudy,0,21,-5
2023,4,4,snowy,11,38,-17
2023,4,5,snowy,11,43,-11
2023,4,6,cloudy,4,12,5
2023,4,7,cloudy,2,47,8
2023,4,8,cloudy,5,52,10
2023,4,9,cloudy,4,30,-9
2023,4,10,rainy,9,26,9
2023,4,11,rainy,8,17,5
2023,4,12,cloudy,1,35,8
2023,4,13,cloudy,2,38,-4
2023,4,14,snowy,9,22,-11
2023,4,15,snowy,8,34,-18
2023,4,16,rainy,8,14,5
2023,4,17,snowy,8,36,-10
2023,4,18,cloudy,4,34,-7
2023,4,19,rainy,11,42,10
2023,4,20,cloudy,6,49,-19
2023,4,21,snowy,9,17,-6
2023,4,22,snowy,7,45,-1
2023,4,23,snowy,12,19,-9
2023,4,24,cloudy,4,20,-19
2023,4,25,snowy,11,16,1
2023,4,26,cloudy,5,40,3
2023,4,27,snowy,10,52,-13
2023,4,28,cloudy,6,42,11
2023,4,29,cloudy,0,15,10
2023,4,30,snowy,7,48,-4
2023,5,1,snowy,10,44,-1
2023,5,2,cloudy,1,43,-9
2023,5,3,cloudy,6,47,7
2023,5,4,cloudy,4,49,-12
2023,5,5,cloudy,0,38,-1
2023,5,6,cloudy,6,17,-15
2023,5,7,snowy,10,49,-10
2023,5,8,sunny,12,12,12
2023,5,9,snowy,10,29,-9
2023,5,10,snowy,7,19,-2
2023,5,11,cloudy,6,15,-2
2023,5,12,snowy,9,37,0
2023,5,13,rainy,12,19,7
2023,5,14,cloudy,0,32,9
2023,5,15,rainy,8,15,12
2023,5,16,rainy,10,39,12
2023,5,17,cloudy,2,13,-3
2023,5,18,cloudy,4,35,-2
2023,5,19,snowy,9,50,-19
2023,5,20,rainy,7,35,4
2023,5,21,snowy,11,15,-5
2023,5,22,rainy,7,23,9
2023,5,23,cloudy,3,31,9
2023,5,24,snowy,8,38,-7
2023,5,25,snowy,12,49,-14
2023,5,26,rainy,8,14,11
2023,5,27,cloudy,1,13,-10
2023,5,28,snowy,7,48,-6
2023,5,29,cloudy,5,16,-12
2023,5,30,cloudy,5,42,-11
2023,5,31,cloudy,4,46,-9
2023,6,1,snowy,10,38,-19
2023,6,2,cloudy,3,51,5
2023,6,3,snowy,12,42,-12
2023,6,4,cloudy,4,22,12
2023,6,5,snowy,12,24,-17
2023,6,6,cloudy,3,52,-19
2023,6,7,snowy,12,38,0
2023,6,8,rainy,8,22,11
2023,6,9,rainy,8,42,7
2023,6,10,cloudy,4,42,10
2023,6,11,cloudy,3,28,0
2023,6,12,snowy,12,14,-1
2023,6,13,cloudy,0,15,-12
2023,6,14,rainy,12,50,4
2023,6,15,cloudy,0,18,8
2023,6,16,cloudy,3,24,-10
2023,6,17,cloudy,5,23,11
2023,6,18,snowy,12,43,-16
2023,6,19,cloudy,0,27,-15
2023,6,20,cloudy,2,48,4
2023,6,21,cloudy,0,24,-4
2023,6,22,cloudy,0,35,-3
2023,6,23,rainy,10,39,5
2023,6,24,cloudy,4,42,-4
2023,6,25,snowy,7,50,-8
2023,6,26,cloudy,6,14,6
2023,6,27,snowy,7,17,-6
2023,6,28,cloudy,3,36,6
2023,6,29,cloudy,2,51,-6
2023,6,30,cloudy,4,13,4
2023,7,1,cloudy,6,24,-14
2023,7,2,cloudy,2,16,11
2023,7,3,snowy,12,16,-7
2023,7,4,rainy,12,24,10
2023,7,5,snowy,11,39,-2
2023,7,6,snowy,11,44,-20
