500000062085,10,11,1,2023
500000062085,78,26,2,2023
500000062085,58,15,3,2023
500000062085,14,36,4,2023
500000062085,71,47,5,2023
500000062085,44,28,6,2023
500000062085,85,6,7,2023
500000062085,14,29,8,2023
500000062085,71,5,9,2023
500000062085,44,8,10,2023
500000062085,47,36,11,2023
500000062085,63,47,12,2023
500000062085,87,29,1,2024
500000062085,18,35,2,2024
500000062085,47,37,3,2024
500000062085,92,40,4,2024
500000062085,33,7,5,2024
500000062085,76,20,6,2024
500000062085,67,39,7,2024
500000062085,100,21,8,2024
500000062085,32,50,9,2024
500000062085,75,39,10,2024
500000062085,69,8,11,2024
500000062085,67,45,12,2024
400000122208,34,25,1,2023
400000122208,79,26,2,2023
400000122208,31,17,3,2023
400000122208,42,12,4,2023
400000122208,54,46,5,2023
400000122208,92,7,6,2023
400000122208,92,28,7,2023
400000122208,56,19,8,2023
400000122208,99,27,9,2023
400000122208,34,9,10,2023
400000122208,96,8,11,2023
400000122208,55,22,12,2023
400000122208,35,47,1,2024
400000122208,58,26,2,2024
400000122208,95,7,3,2024
400000122208,79,40,4,2024
400000122208,85,10,5,2024
400000122208,11,36,6,2024
400000122208,89,33,7,2024
400000122208,76,38,8,2024
400000122208,100,45,9,2024
400000122208,31,19,10,2024
400000122208,41,28,11,2024
400000122208,63,43,12,2024
300000044145,47,43,1,2023
300000044145,34,24,2,2023
300000044145,58,26,3,2023
300000044145,36,13,4,2023
300000044145,23,31,5,2023
300000044145,83,6,6,2023
300000044145,58,27,7,2023
300000044145,96,39,8,2023
300000044145,60,45,9,2023
300000044145,66,43,10,2023
300000044145,24,14,11,2023
300000044145,75,10,12,2023
300000044145,18,17,1,2024
300000044145,10,24,2,2024
300000044145,12,37,3,2024
300000044145,95,16,4,2024
300000044145,26,19,5,2024
300000044145,90,34,6,2024
300000044145,23,36,7,2024
300000044145,45,22,8,2024
300000044145,55,11,9,2024
300000044145,63,43,10,2024
300000044145,63,48,11,2024
300000044145,60,11,12,2024
300000025593,99,23,1,2023
300000025593,22,30,2,2023
300000025593,32,27,3,2023
300000025593,52,49,4,2023
300000025593,21,14,5,2023
300000025593,39,33,6,2023
300000025593,21,34,7,2023
300000025593,66,41,8,2023
300000025593,32,26,9,2023
300000025593,45,14,10,2023
300000025593,12,46,11,2023
300000025593,48,11,12,2023
300000025593,96,23,1,2024
300000025593,21,45,2,2024
300000025593,18,12,3,2024
300000025593,16,21,4,2024
300000025593,33,11,5,2024
300000025593,81,25,6,2024
300000025593,41,25,7,2024
300000025593,83,47,8,2024
300000025593,69,14,9,2024
300000025593,71,46,10,2024
300000025593,32,44,11,2024
300000025593,52,28,12,2024
300000054948,64,42,1,2023
300000054948,78,26,2,2023
300000054948,96,34,3,2023
300000054948,49,42,4,2023
300000054948,72,37,5,2023
300000054948,99,48,6,2023
300000054948,87,18,7,2023
300000054948,58,28,8,2023
300000054948,19,24,9,2023
300000054948,62,45,10,2023
300000054948,50,38,11,2023
300000054948,89,37,12,2023
300000054948,82,37,1,2024
300000054948,77,5,2,2024
300000054948,90,29,3,2024
300000054948,52,7,4,2024
300000054948,74,27,5,2024
300000054948,70,36,6,2024
300000054948,28,47,7,2024
300000054948,88,45,8,2024
300000054948,59,11,9,2024
300000054948,50,50,10,2024
300000054948,29,25,11,2024
300000054948,38,28,12,2024
300000064581,90,25,1,2023
300000064581,52,42,2,2023
300000064581,43,14,3,2023
300000064581,100,12,4,2023
300000064581,67,33,5,2023
300000064581,10,5,6,2023
300000064581,80,38,7,2023
300000064581,39,24,8,2023
300000064581,72,36,9,2023
300000064581,28,43,10,2023
300000064581,74,43,11,2023
300000064581,18,8,12,2023
300000064581,79,33,1,2024
300000064581,29,14,2,2024
300000064581,17,22,3,2024
300000064581,96,48,4,2024
300000064581,45,17,5,2024
300000064581,72,18,6,2024
300000064581,80,41,7,2024
300000064581,48,17,8,2024
300000064581,27,5,9,2024
300000064581,27,50,10,2024
300000064581,32,42,11,2024
300000064581,22,23,12,2024
300000016419,64,13,1,2023
300000016419,85,12,2,2023
300000016419,99,16,3,2023
300000016419,31,9,4,2023
